CA_county_ansi,tomato_farmland_area(acres),tomato_production(tonnes/acre),lstd_Jun,lstd_Jul,lstd_Aug,lstn_Jun,lstn_Jul,lstn_Aug,gpm_Jun,gpm_Jul,gpm_Aug,ndvi_Jun,ndvi_Jul,ndvi_Aug,ET,year
113,39269,30.86404033716163,33.88725000000001,35.884499999999996,36.41449999999999,16.64875,19.2665,18.329749999999997,0.06857667470143901,0.0035229062454568017,0.0017459698461203112,0.5047499999999999,0.5092499999999999,0.4965,4681.737540009145,2011
11,11507,50.40410185104719,34.141799999999996,37.184000000000005,37.83519999999999,18.0024,20.688000000000006,21.039000000000005,0.03857729537412524,0.0028394251130521297,0.012261220952495933,0.5120000000000001,0.524,0.514,4199.760468689973,2012
19,93967,57.626613598390925,34.8561971830986,36.23169014084508,35.95718309859154,15.021314553990603,17.928873239436626,18.545821596244142,0.004326055746059865,0.004812577444439133,0.029506984151278934,0.39643192488262907,0.40431924882629106,0.4053990610328641,2918.0588235294117,2012
29,10495,63.935207241543594,42.25149999999999,43.1431153846154,43.39419230769231,17.910384615384608,20.428692307692316,22.15580769230768,0.0028704869517241606,0.014692204463062807,0.02734574880450964,0.2823076923076924,0.2721538461538462,0.2721923076923076,1919.193978909707,2012
31,20605,69.88595001213298,41.850476190476186,41.6204761904762,41.73809523809524,18.850714285714293,21.449047619047615,22.07238095238095,0.0017083617729238337,0.003922125350476967,0.0111390203754935,0.3476190476190477,0.39785714285714285,0.4019047619047619,3385.498546511628,2012
39,4439,34.917774273485016,35.5564705882353,37.27519607843136,37.69676470588235,15.954411764705883,19.15411764705883,19.93774509803922,0.003497439656510121,0.004443048208486289,0.023607174115669396,0.4528431372549019,0.4460784313725491,0.44588235294117645,3699.0306560392396,2012
47,34457,16.455292103201092,40.05041666666666,40.22694444444444,39.63416666666665,17.17319444444445,19.595972222222223,19.760277777777773,0.0030436317902058363,0.003913157221783574,0.007407572741309802,0.3751388888888889,0.41416666666666657,0.43791666666666684,3398.2907677664975,2012
67,2056,47.66536964980545,39.49777777777777,40.71296296296296,40.080740740740744,16.380370370370375,18.44111111111111,18.256666666666668,0.009595154784619808,0.008400798620035252,0.014681191959728798,0.3762962962962963,0.3681481481481481,0.36777777777777776,3956.709597741708,2012
69,1527,56.31958087753765,39.70964285714287,40.625,41.32392857142857,14.075178571428571,16.156607142857144,17.436249999999998,0.004651400674548414,0.003293453198340204,0.0063747020645274054,0.34428571428571425,0.3182142857142857,0.31196428571428564,2686.522811137202,2012
77,30942,29.086678301337987,38.2575,38.568214285714284,37.82928571428572,16.319285714285712,18.218392857142863,18.090357142857144,0.0060138314341505366,0.004584474799533685,0.01218814798630774,0.43642857142857133,0.45857142857142874,0.47660714285714273,3733.661459432834,2012
95,10341,32.878831834445414,34.748666666666665,36.06199999999999,35.86933333333332,15.548999999999998,16.687333333333335,16.542000000000005,0.020797071668008964,0.007853372177730003,0.014704702732463678,0.4186666666666666,0.39899999999999997,0.3996666666666667,4398.2299124900555,2012
99,9814,51.45710209904218,39.65509803921567,40.76372549019607,40.22294117647059,17.198235294117644,19.742941176470584,20.14803921568628,0.005212898598983884,0.005017628544010222,0.005707776606349009,0.3907843137254903,0.40176470588235286,0.41254901960784307,3348.4178757980267,2012
101,13051,19.921845069343345,34.94125,35.997499999999995,36.135000000000005,18.485833333333332,19.74958333333333,19.0825,0.016480591148138046,0.0028929320978932083,0.015348307555541396,0.4941666666666667,0.5499999999999999,0.5625000000000001,4321.500822056406,2012
113,39269,37.43410832972574,35.947250000000004,37.773,38.117000000000004,17.39325,19.273000000000003,19.335750000000004,0.021987358522084024,0.0032265822196172345,0.016167671057499118,0.46175000000000005,0.46625000000000016,0.46175000000000016,4041.1936442615456,2012
